id;franquicia;nivel_minimo;aplica_niveles_superiores;categoria;titulo_beneficio;descripcion;valor_numerico;tipo_valor;etiqueta_valor;condiciones;aplica_colombia;url_fuente;fecha_verificacion;estado
;Visa;classic;Sí (gold, platinum, signature, infinite);seguros;Asistencia global en emergencias;Asistencia médica y de viaje básica en caso de emergencias internacionales;;fixed_benefit;Incluido;Viajes internacionales;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;classic;Sí;seguros;Seguro de accidente en viaje;Cobertura básica en caso de accidentes durante el viaje;;fixed_benefit;Incluido;Tiquetes comprados con la tarjeta;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;gold;Sí (platinum, signature, infinite);viajes;Asistencia de viaje 24/7;Centro de asistencia personal disponible 24 horas para emergencias de viaje;;fixed_benefit;Incluido;Viajes al exterior;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;gold;Sí;seguros;Seguro de viaje ampliado;Cobertura médica internacional más amplia que el nivel Classic;;fixed_benefit;Incluido;Viajes internacionales;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;platinum;Sí (signature, infinite);viajes;Hotel Collection;Acceso a tarifas preferenciales en hoteles de lujo seleccionados;;fixed_benefit;Incluido;Reservas en hoteles Visa Collection;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;platinum;Sí;seguros;Protección de precio;Reembolso si el producto se consigue más barato dentro de cierto período;;fixed_benefit;Incluido;Compras elegibles;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;platinum;Sí;seguros;Protección de compra;Cobertura contra daño o robo de artículos comprados;;fixed_benefit;Incluido;Compras con la tarjeta (90 días);Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;signature;Sí (infinite);viajes;Visa Airport Companion;Acceso a salas VIP en aeropuertos vía Visa Airport Companion / DragonPass;12;lounge_access;12 visitas/año;Titular;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;signature;Sí;viajes;Visa Concierge;Servicio de conserjería personal para reservas de restaurantes, hoteles y eventos;;fixed_benefit;Incluido;24/7;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;signature;Sí;seguros;Seguro médico internacional;Cobertura médica de emergencia en el exterior (monto varía por banco);;fixed_benefit;Incluido;Viajes internacionales;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;infinite;No;viajes;Visa Infinite Concierge;Conserjería personal de lujo disponible 24/7 para cualquier necesidad;;fixed_benefit;Incluido;Siempre disponible;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;infinite;No;viajes;Luxury Hotel & Resort Collection;Beneficios exclusivos en +900 hoteles de lujo (upgrade, desayuno, checkout tardío);;fixed_benefit;Incluido;Reservas directas en la colección;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;infinite;No;seguros;Seguro de viaje hasta USD 1.000.000;Cobertura médica de hasta USD 1.000.000 en el exterior;;fixed_benefit;Incluido;Pasajes comprados con la tarjeta;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Visa;infinite;No;viajes;Salas VIP ilimitadas;Acceso ilimitado al titular a salas VIP en aeropuertos;;lounge_access;Acceso ilimitado;Titular;Sí;https://www.visa.com.co/content/visa/lac/co/es/pagar-con-visa/beneficios.html;;Por verificar
;Mastercard;classic;Sí;seguros;Mastercard Global Service;Asistencia de emergencia 24/7 a nivel mundial (reposición de tarjeta, adelantos de efectivo);;fixed_benefit;Incluido;Emergencias mundiales;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;classic;Sí;seguros;ID Theft Protection;Monitoreo básico contra fraude y robo de identidad;;fixed_benefit;Incluido;Tarjeta activa;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;gold;Sí;seguros;Mastercard Secure;Autenticación avanzada en compras online;;fixed_benefit;Incluido;Compras online;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;gold;Sí;viajes;Asistencia de viaje;Asistencia médica y logística en viajes internacionales;;fixed_benefit;Incluido;Viajes al exterior;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
;Mastercard;platinum;Sí;viajes;Mastercard Travel Services;Asesoría experta en viajes y beneficios en hoteles seleccionados;;fixed_benefit;Incluido;Viajes y hoteles;Sí;https://www.mastercard.com.co/es-co/consumidores/beneficios.html;;Por verificar
